# 海川珠宝 Working Tree 路径级收敛清单
# snapshot_branch=codex/release-curation-20260814 snapshot_head=ea38fdc tracked_changes=218 untracked_files=298 staged=0
# 本文件本身计入 untracked_files；状态来自 git status --porcelain=v1 -uall。历史 migration draft 已完成可恢复清理，备份、素材和未裁决删除差异仍受各自保护门约束。
status	batch	consumer_or_role	replacement_or_target	protection	path
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	client/tests/responsive-public.spec.ts
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	client/tests/public-catalog-detail-foundation.spec.ts
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	client/tests/public-catalog-server-pagination.spec.ts
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	client/tests/public-sales-mode.spec.ts
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	client/tests/public-service-third-batch.spec.ts
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	client/tests/shared-foundation-safety.spec.ts
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	client/tests/site-content-load-protection.spec.ts
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	client/tests/site-maturity-foundation.spec.ts
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	scripts/generate-content-template-contract.mjs
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	scripts/verify-admin-ui-standards.mjs
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	scripts/verify-batch1-safety.mjs
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	scripts/verify-content-template-contract.mjs
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	scripts/verify-content-template-skeletons.mjs
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	scripts/verify-inquiry-privacy-consent.mjs
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	scripts/verify-page-builder-publish.mjs
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	scripts/verify-selection-inquiry-security.mjs
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	scripts/verify-trade-concurrency.mjs
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	scripts/verify-trade-contract.mjs
_M	B02-release-schema	本地/容器运行合同	显式配置且资金默认关闭	config-change-approved	.env.example
_M	B02-release-schema	本地/容器运行合同	显式配置且资金默认关闭	config-change-approved	client/Dockerfile
_M	B02-release-schema	本地/容器运行合同	显式配置且资金默认关闭	config-change-approved	client/nginx.conf
_M	B02-release-schema	本地/容器运行合同	显式配置且资金默认关闭	config-change-approved	docker-compose.yml
_M	B02-release-schema	本地/容器运行合同	显式配置且资金默认关闭	config-change-approved	server/scripts/backup.sh
_M	B02-release-schema	Prisma/正式 migration/合同测试	Schema 与正式 migration	database-apply-approval	server/prisma/schema.prisma
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/common/filters/http-exception.filter.ts
_M	B03-input-permission	通知日志隐私边界	保留发送结果合同且不记录联系方式/原始错误	privacy-fix-reviewed	server/src/common/mailer/mailer.service.ts
_M	B03-input-permission	通知日志隐私边界	保留发送结果合同且不记录联系方式/原始错误	privacy-fix-reviewed	server/src/common/sms/sms.service.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/analytics/analytics.controller.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/analytics/analytics.service.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/analytics/dto/track-event.dto.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/attributes/attributes.controller.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/attributes/attributes.service.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/auth/auth.controller.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/auth/jwt.strategy.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/cart/cart.controller.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/cart/cart.inventory-policy.spec.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/cart/cart.service.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/categories/categories.controller.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/categories/categories.service.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/inquiries/dto/create-inquiry.dto.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/inquiries/inquiries.module.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/inquiries/inquiries.service.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/inventory/warehouse.controller.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/leads/leads.controller.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/leads/leads.service.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/partner-applications/dto/create-partner-application.dto.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/partner-applications/dto/review-partner-application.dto.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/partner-applications/partner-applications.controller.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/partner-applications/partner-applications.service.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/products/dto/add-product-image.dto.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/products/dto/index.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/products/dto/public-product-query.dto.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/products/products.controller.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/products/products.media-integrity.spec.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/products/products.public-query.spec.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/products/products.service.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/products/tags.controller.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/settings/dto/update-settings.dto.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/settings/settings.controller.ts
_M	B03-input-permission	DTO/Guard/Service/安全错误合同	现有 Nest 分层	normal	server/src/modules/settings/settings.service.ts
_M	B04-standard-retail	订单/履约/返券/售后/支付安全边界	现有 Service+Prisma 事务事实源	high-risk-reviewed	client/src/pages/admin/AfterSalesManage/index.tsx
_M	B04-standard-retail	订单/履约/返券/售后/支付安全边界	现有 Service+Prisma 事务事实源	high-risk-reviewed	client/src/pages/public/Checkout/index.tsx
_M	B04-standard-retail	订单/履约/返券/售后/支付安全边界	现有 Service+Prisma 事务事实源	high-risk-reviewed	server/src/common/payment-gateway/payment-gateway.module.ts
_M	B04-standard-retail	订单/履约/返券/售后/支付安全边界	现有 Service+Prisma 事务事实源	high-risk-reviewed	server/src/common/payment-gateway/payment-gateway.service.ts
_M	B04-standard-retail	订单/履约/返券/售后/支付安全边界	现有 Service+Prisma 事务事实源	high-risk-reviewed	server/src/modules/after-sales/after-sales.module.ts
_M	B04-standard-retail	订单/履约/返券/售后/支付安全边界	现有 Service+Prisma 事务事实源	high-risk-reviewed	server/src/modules/after-sales/after-sales.service.ts
_M	B04-standard-retail	订单/履约/返券/售后/支付安全边界	现有 Service+Prisma 事务事实源	high-risk-reviewed	server/src/modules/after-sales/dto/after-sales.dto.ts
_M	B04-standard-retail	订单/履约/返券/售后/支付安全边界	现有 Service+Prisma 事务事实源	high-risk-reviewed	server/src/modules/customers/customer-auth.guard.ts
_M	B04-standard-retail	订单/履约/返券/售后/支付安全边界	现有 Service+Prisma 事务事实源	high-risk-reviewed	server/src/modules/customers/customers.controller.ts
_M	B04-standard-retail	订单/履约/返券/售后/支付安全边界	现有 Service+Prisma 事务事实源	high-risk-reviewed	server/src/modules/customers/customers.service.ts
_M	B04-standard-retail	订单/履约/返券/售后/支付安全边界	现有 Service+Prisma 事务事实源	high-risk-reviewed	server/src/modules/customers/dto/checkout.dto.ts
_M	B04-standard-retail	订单/履约/返券/售后/支付安全边界	现有 Service+Prisma 事务事实源	high-risk-reviewed	server/src/modules/customers/optional-customer-auth.guard.ts
_M	B04-standard-retail	订单/履约/返券/售后/支付安全边界	现有 Service+Prisma 事务事实源	high-risk-reviewed	server/src/modules/fulfillment/fulfillment.service.ts
_M	B04-standard-retail	订单/履约/返券/售后/支付安全边界	现有 Service+Prisma 事务事实源	high-risk-reviewed	server/src/modules/marketing/marketing.controller.ts
_M	B04-standard-retail	订单/履约/返券/售后/支付安全边界	现有 Service+Prisma 事务事实源	high-risk-reviewed	server/src/modules/marketing/marketing.service.ts
_M	B04-standard-retail	订单/履约/返券/售后/支付安全边界	现有 Service+Prisma 事务事实源	high-risk-reviewed	server/src/modules/orders/orders.inventory-release.spec.ts
_M	B04-standard-retail	订单/履约/返券/售后/支付安全边界	现有 Service+Prisma 事务事实源	high-risk-reviewed	server/src/modules/orders/orders.service.ts
_M	B04-standard-retail	订单/履约/返券/售后/支付安全边界	现有 Service+Prisma 事务事实源	high-risk-reviewed	server/src/modules/payments/payments.controller.ts
_M	B04-standard-retail	订单/履约/返券/售后/支付安全边界	现有 Service+Prisma 事务事实源	high-risk-reviewed	server/src/modules/payments/payments.module.ts
_M	B04-standard-retail	订单/履约/返券/售后/支付安全边界	现有 Service+Prisma 事务事实源	high-risk-reviewed	server/src/modules/payments/payments.service.ts
_M	B04-standard-retail	订单/履约/返券/售后/支付安全边界	现有 Service+Prisma 事务事实源	high-risk-reviewed	server/src/modules/payments/payments.transaction-gate.spec.ts
_M	B04-standard-retail	订单/履约/返券/售后/支付安全边界	现有 Service+Prisma 事务事实源	high-risk-reviewed	server/src/modules/quotations/dto/quotation.dto.ts
_M	B04-standard-retail	订单/履约/返券/售后/支付安全边界	现有 Service+Prisma 事务事实源	high-risk-reviewed	server/src/modules/quotations/quotations.controller.ts
_M	B04-standard-retail	订单/履约/返券/售后/支付安全边界	现有 Service+Prisma 事务事实源	high-risk-reviewed	server/src/modules/quotations/quotations.safety.spec.ts
_M	B04-standard-retail	订单/履约/返券/售后/支付安全边界	现有 Service+Prisma 事务事实源	high-risk-reviewed	server/src/modules/quotations/quotations.service.ts
_M	B04-standard-retail	订单/履约/返券/售后/支付安全边界	现有 Service+Prisma 事务事实源	high-risk-reviewed	server/src/modules/refunds/dto/refund.dto.ts
_M	B04-standard-retail	订单/履约/返券/售后/支付安全边界	现有 Service+Prisma 事务事实源	high-risk-reviewed	server/src/modules/refunds/refunds.controller.ts
_M	B04-standard-retail	订单/履约/返券/售后/支付安全边界	现有 Service+Prisma 事务事实源	high-risk-reviewed	server/src/modules/refunds/refunds.module.ts
_M	B04-standard-retail	订单/履约/返券/售后/支付安全边界	现有 Service+Prisma 事务事实源	high-risk-reviewed	server/src/modules/refunds/refunds.service.ts
_M	B04-standard-retail	订单/履约/返券/售后/支付安全边界	现有 Service+Prisma 事务事实源	high-risk-reviewed	server/src/modules/trade-events/trade-events.constants.ts
_M	B05-public-catalog-content	公开路由/商品发现/咨询/PageDocument	/catalog + /products PageDocument	content-license-gate	client/src/components/blocks/AppointmentBlock.tsx
_M	B05-public-catalog-content	公开路由/商品发现/咨询/PageDocument	/catalog + /products PageDocument	content-license-gate	client/src/components/blocks/DoublePosterSection.tsx
_M	B05-public-catalog-content	公开路由/商品发现/咨询/PageDocument	/catalog + /products PageDocument	content-license-gate	client/src/components/blocks/HeroSection.tsx
_M	B05-public-catalog-content	公开路由/商品发现/咨询/PageDocument	/catalog + /products PageDocument	content-license-gate	client/src/components/blocks/LimitedOfferBlock.tsx
_M	B05-public-catalog-content	公开路由/商品发现/咨询/PageDocument	/catalog + /products PageDocument	content-license-gate	client/src/components/blocks/StoreInfoBlock.tsx
_M	B05-public-catalog-content	公开路由/商品发现/咨询/PageDocument	/catalog + /products PageDocument	content-license-gate	client/src/components/layout/PublicLayout.tsx
_M	B05-public-catalog-content	公开路由/商品发现/咨询/PageDocument	/catalog + /products PageDocument	content-license-gate	client/src/components/layout/StorefrontFooter.tsx
_M	B05-public-catalog-content	公开路由/商品发现/咨询/PageDocument	/catalog + /products PageDocument	content-license-gate	client/src/components/layout/StorefrontNavigation.tsx
_M	B05-public-catalog-content	公开路由/商品发现/咨询/PageDocument	/catalog + /products PageDocument	content-license-gate	client/src/pages/public/Contact/index.tsx
_M	B05-public-catalog-content	公开路由/商品发现/咨询/PageDocument	/catalog + /products PageDocument	content-license-gate	client/src/pages/public/Custom/index.tsx
_M	B05-public-catalog-content	公开路由/商品发现/咨询/PageDocument	/catalog + /products PageDocument	content-license-gate	client/src/pages/public/Home/index.tsx
_M	B05-public-catalog-content	公开路由/商品发现/咨询/PageDocument	/catalog + /products PageDocument	content-license-gate	client/src/pages/public/ProductDetail/index.tsx
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/page-builder/adapters/appointment.puck.tsx
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/page-builder/adapters/businessRegion.puck.tsx
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/page-builder/adapters/storeInfo.puck.tsx
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/page-builder/config/blockContracts.ts
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/page-builder/config/blockMeta.ts
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/page-builder/config/editorPages.ts
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/page-builder/generated/contentTemplates.generated.ts
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/page-builder/inspector/InstanceOverridesPanel.tsx
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/page-builder/inspector/LinkTargetField.tsx
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/page-builder/inspector/panels/DoublePosterInspector.tsx
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/page-builder/inspector/schema/modules/appointment.ts
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/page-builder/inspector/schema/modules/beforeAfter.ts
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/page-builder/inspector/schema/modules/carousel.ts
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/page-builder/inspector/schema/modules/categoryCards.ts
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/page-builder/inspector/schema/modules/doublePoster.ts
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/page-builder/inspector/schema/modules/gallery.ts
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/page-builder/inspector/schema/modules/storeInfo.ts
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/page-builder/inspector/schema/shared.ts
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/page-builder/preview/ContentTemplateRendererPreview.tsx
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/page-builder/preview/templatePreviewContent.ts
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/page-builder/runtime/ContentTemplateContractFrame.tsx
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/page-builder/runtime/PublishedPageDecoration.tsx
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/page-builder/runtime/PuckDocumentRenderer.tsx
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/page-builder/runtime/usePublishedPageDocument.ts
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/page-builder/templates/templates.ts
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/page-builder/utils/linkTarget.ts
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/page-builder/utils/migratePuckData.ts
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/page-builder/utils/puckPropsToModule.ts
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/pages/admin/HomepageConfig/components/CanvasSelectionDock.tsx
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/pages/admin/HomepageConfig/components/EditorToolbar.tsx
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/pages/admin/HomepageConfig/components/LayerRail.tsx
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/pages/admin/HomepageConfig/components/PageSettingsDrawer.tsx
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/pages/admin/HomepageConfig/components/RevisionDrawer.tsx
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/pages/admin/HomepageConfig/editor.css
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/src/pages/admin/HomepageConfig/index.tsx
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	client/tests/template-internal-editor.spec.ts
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	contracts/page-builder/content-templates.contract.json
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	server/src/modules/page-modules/generated/contentTemplates.generated.ts
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	server/src/modules/page-modules/page-modules.controller.ts
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	server/src/modules/page-modules/page-modules.craft-details-publication.spec.ts
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	server/src/modules/page-modules/page-modules.hero-publication.spec.ts
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	server/src/modules/page-modules/page-modules.personal-templates.spec.ts
_M	B06-puck-registry14	编辑器/预览/公开 Renderer/服务端 PageDocument	schema5 registry14 机器合同	draft-protected	server/src/modules/page-modules/page-modules.service.ts
_M	B07-frontend-clients	前后台领域消费者	httpClient + services/clients；api.ts 兼容门面	atomic-with-consumers	client/src/services/api.ts
_M	B07-frontend-clients	前后台领域消费者	httpClient + services/clients；api.ts 兼容门面	atomic-with-consumers	client/src/services/mockData.ts
_M	B07-frontend-clients	前后台领域消费者	httpClient + services/clients；api.ts 兼容门面	atomic-with-consumers	client/src/types/index.ts
_M	B07-frontend-splits	对应路由容器/后台或公开页面	新子文件必须与旧容器原子验收	atomic-with-container	client/src/components/layout/AdminLayout.tsx
_M	B07-frontend-splits	对应路由容器/后台或公开页面	新子文件必须与旧容器原子验收	atomic-with-container	client/src/pages/admin/CategoryManage/index.tsx
_M	B07-frontend-splits	对应路由容器/后台或公开页面	新子文件必须与旧容器原子验收	atomic-with-container	client/src/pages/admin/Dashboard/index.tsx
_M	B07-frontend-splits	对应路由容器/后台或公开页面	新子文件必须与旧容器原子验收	atomic-with-container	client/src/pages/admin/ProductManage/index.tsx
_M	B07-frontend-splits	对应路由容器/后台或公开页面	新子文件必须与旧容器原子验收	atomic-with-container	client/src/pages/admin/ProductManage/ProductManage.css
_M	B07-frontend-splits	对应路由容器/后台或公开页面	新子文件必须与旧容器原子验收	atomic-with-container	client/src/pages/public/Catalog/index.tsx
_M	B07-frontend-splits	对应路由容器/后台或公开页面	新子文件必须与旧容器原子验收	atomic-with-container	client/src/pages/public/CustomerCenter/AccountExperience.tsx
_M	B07-frontend-splits	对应路由容器/后台或公开页面	新子文件必须与旧容器原子验收	atomic-with-container	client/src/pages/public/CustomerCenter/index.tsx
_M	B07-frontend-splits	对应路由容器/后台或公开页面	新子文件必须与旧容器原子验收	atomic-with-container	client/src/pages/public/CustomerCenter/MyAccountDashboard.tsx
_M	B07-frontend-splits	对应路由容器/后台或公开页面	新子文件必须与旧容器原子验收	atomic-with-container	client/src/styles/adminLuxury.css
_M	B07-frontend-splits	对应路由容器/后台或公开页面	新子文件必须与旧容器原子验收	atomic-with-container	client/src/styles/globals.css
_M	B09-authority-docs	工程状态/决策/验收消费者	当前代码与新鲜证据优先	history-context	docs/acceptance/end-to-end-flow-matrix.md
_M	B09-authority-docs	工程状态/决策/验收消费者	当前代码与新鲜证据优先	history-context	docs/acceptance/feature-completion-matrix.md
_M	B09-authority-docs	工程状态/决策/验收消费者	当前代码与新鲜证据优先	history-context	docs/acceptance/puck-published-content-audit.md
_M	B09-authority-docs	工程状态/决策/验收消费者	当前代码与新鲜证据优先	history-context	docs/architecture/data-source-map.md
_M	B09-authority-docs	工程状态/决策/验收消费者	当前代码与新鲜证据优先	history-context	docs/architecture/page-builder-boundary.md
_M	B09-authority-docs	工程状态/决策/验收消费者	当前代码与新鲜证据优先	history-context	docs/COMPONENTS.md
